Sample time,accel,throttle,speed,separation
4.3,-0.51535380708636,0.245764248434192,2.5483,2.49879999999996
4.2,-0.464937374603361,0.177541267107053,2.9859,2.77609999999999
4.15,-0.439810907460477,0,3.3831,3.09589999999997
4.25,-0.432955349591468,0,2.9859,2.77609999999999
4.35,-0.407532246478498,0,2.5483,2.49879999999996
4.5,-0.372526032859626,0.162297336604682,1.8558,2.05559999999997
4.05,-0.369329647509832,0,3.8789,3.45989999999995
4,-0.36305887706448,,3.8789,3.45989999999995
4.4,-0.343036180618985,0.16165366422183,2.2161,2.25969999999995
4.1,-0.335277072120004,,3.3831,3.09589999999997
3.95,-0.329406366681528,0,4.466,3.87819999999999
4.23,-0.326015347741345,0,2.9859,2.77609999999999
4.21,-0.32361269076118,0,2.9859,2.77609999999999
3.85,-0.32038868327043,0,5.1389,4.35649999999998
4.24,-0.318002009738704,0,2.9859,2.77609999999999
4.22,-0.317411886301759,0,2.9859,2.77609999999999
4.45,-0.312965577617653,0,2.2161,2.25969999999995
4.34,-0.293266262165319,0,2.5483,2.49879999999996
4.31,-0.291404756713847,0,2.5483,2.49879999999996
4.33,-0.290338094781617,0,2.5483,2.49879999999996
4.32,-0.287666965561666,0,2.5483,2.49879999999996
4.14,-0.273783455207325,0,3.3831,3.09589999999997
4.6,-0.272239173013694,0.11661953672427,1.5433,1.8852
4.12,-0.2626363106519,0,3.3831,3.09589999999997
4.13,-0.261129476695272,0,3.3831,3.09589999999997
4.55,-0.258322575281022,0,1.8558,2.05559999999997
3.75,-0.257885863330819,0,5.8503,4.90429999999998
4.11,-0.247541698443591,0,3.3831,3.09589999999997
3.9,-0.241177605337726,,4.466,3.87819999999999
4.02,-0.239698077568518,0,3.8789,3.45989999999995
4.04,-0.236593167064756,0,3.8789,3.45989999999995
4.03,-0.235191247304228,0,3.8789,3.45989999999995
4.01,-0.232973899893564,0,3.8789,3.45989999999995
4.44,-0.200838582055883,0,2.2161,2.25969999999995
4.43,-0.198649830384269,0,2.2161,2.25969999999995
4.42,-0.193697813526547,0,2.2161,2.25969999999995
4.41,-0.19163794953189,0,2.2161,2.25969999999995
4.51,-0.180663393159645,0,1.8558,2.05559999999997
3.8,-0.179594929015584,,5.1389,4.35649999999998
4.54,-0.176520894140569,0,1.8558,2.05559999999997
4.52,-0.175315749009272,0,1.8558,2.05559999999997
4.53,-0.174982426722431,0,1.8558,2.05559999999997
4.7,-0.17237608799998,0.256801897159611,1.2128,1.74719999999996
3.93,-0.171790353995552,0,4.466,3.87819999999999
3.7,-0.171217496083446,,5.8503,4.90429999999998
3.92,-0.170108632017474,0,4.466,3.87819999999999
3.94,-0.169088482045395,0,4.466,3.87819999999999
3.91,-0.168922509992255,0,4.466,3.87819999999999
4.75,-0.154898133245132,0,1.2128,1.74719999999996
4.65,-0.150740811874151,0,1.5433,1.8852
3.5,-0.149093917441562,,7.2551,6.21899999999999
3.6,-0.136001743155152,,6.5911,5.52509999999995
3.83,-0.135673311538262,0,5.1389,4.35649999999998
3.84,-0.134398790413174,0,5.1389,4.35649999999998
3.82,-0.134270515148829,0,5.1389,4.35649999999998
3.81,-0.133023278437261,0,5.1389,4.35649999999998
3.65,-0.132534633956916,0,6.5911,5.52509999999995
3.73,-0.12597713633297,0,5.8503,4.90429999999998
3.72,-0.125158975458751,0,5.8503,4.90429999999998
3.74,-0.124304361225673,0,5.8503,4.90429999999998
3.71,-0.122493294246584,0,5.8503,4.90429999999998
4.61,-0.117217270302102,0,1.5433,1.8852
4.62,-0.114832099931401,0,1.5433,1.8852
4.63,-0.114205453407988,0,1.5433,1.8852
4.64,-0.113086594865928,0,1.5433,1.8852
3.55,-0.105779065183131,0,7.2551,6.21899999999999
4.74,-0.0997809965017347,0,1.2128,1.74719999999996
4.71,-0.0978194809465407,0,1.2128,1.74719999999996
4.73,-0.0967520877304655,0,1.2128,1.74719999999996
4.72,-0.0966486766577074,0,1.2128,1.74719999999996
4.8,-0.0861220600396662,0.289284228310875,1.0456,1.63389999999998
3.64,-0.0735104556008933,0,6.5911,5.52509999999995
4.85,-0.0731539722483586,0,1.0456,1.63389999999998
3.62,-0.0731002100600467,0,6.5911,5.52509999999995
3.63,-0.0730242123137173,0,6.5911,5.52509999999995
3.61,-0.0727675871990485,0,6.5911,5.52509999999995
3.54,-0.0716054027141786,0,7.2551,6.21899999999999
3.53,-0.0715193856987604,0,7.2551,6.21899999999999
3.52,-0.071020990011421,0,7.2551,6.21899999999999
3.51,-0.070095301500228,0,7.2551,6.21899999999999
4.9,-0.0642145337479823,0.352107424459587,0.9113,1.53549999999996
4.95,-0.0604231078540007,0,0.9113,1.53549999999996
5.3,-0.0531475603588992,0.348681621358222,0.5583,1.23449999999997
5.1,-0.0486628424224845,0.346718582577418,0.7454,1.36749999999995
5.15,-0.0485667408684901,0,0.7454,1.36749999999995
4.84,-0.0471283413998836,0,1.0456,1.63389999999998
4.81,-0.0468064608338545,0,1.0456,1.63389999999998
4.82,-0.046791720048067,0,1.0456,1.63389999999998
4.83,-0.04675487750046,0,1.0456,1.63389999999998
5.25,-0.0443614587197243,0,0.6683,1.2962
5.35,-0.0432801608981479,0,0.5583,1.23449999999997
5.2,-0.0426635617081739,0.313550637792989,0.6683,1.2962
4.91,-0.0364466515564534,0,0.9113,1.53549999999996
4.92,-0.0360845991902834,0,0.9113,1.53549999999996
4.94,-0.0358672643026198,0,0.9113,1.53549999999996
4.93,-0.0357994038167726,0,0.9113,1.53549999999996
5.31,-0.0307218137434428,0,0.5583,1.23449999999997
5.32,-0.0300327384807663,0,0.5583,1.23449999999997
5.14,-0.0290507102392998,0,0.7454,1.36749999999995
5.34,-0.0290067988205486,0,0.5583,1.23449999999997
5.11,-0.0289375025196106,0,0.7454,1.36749999999995
5.33,-0.0288181348583964,0,0.5583,1.23449999999997
5.12,-0.028715004659616,0,0.7454,1.36749999999995
5.13,-0.0285305626023665,0,0.7454,1.36749999999995
5.05,-0.0281382019825762,0,0.8398,1.44729999999998
5.5,-0.0272191358623087,0.401856221967931,0.4219,1.13569999999999
5,-0.0268952928958475,0.330771310546715,0.8398,1.44729999999998
5.45,-0.0267840492984916,0,0.4863,1.18169999999998
5.24,-0.0261438903346762,0,0.6683,1.2962
5.4,-0.0257868134457972,0.354750019247223,0.4863,1.18169999999998
6.1,-0.0257686366549798,0.360955197382002,0.249,0.914899999999989
5.21,-0.0250334293030788,0,0.6683,1.2962
5.23,-0.0247744835585437,0,0.6683,1.2962
5.22,-0.0247609392869284,0,0.6683,1.2962
5.55,-0.0203935650984294,0,0.4219,1.13569999999999
7.05,-0.0187997801159106,0,0.0969,0.756799999999998
6.3,-0.0186057600451815,0.402024143406621,0.1581,0.873199999999997
6.15,-0.0182716877977946,0,0.249,0.914899999999989
7,-0.0178632063932352,0.36200785415861,0.0969,0.756799999999998
6.2,-0.0175733009367812,0.364501298551871,0.2002,0.891799999999989
6.95,-0.0173580936298143,0,0.1355,0.769199999999955
6.35,-0.0171142985742947,0,0.1581,0.873199999999997
5.44,-0.0170996101498078,0,0.4863,1.18169999999998
5.42,-0.0168676170565246,0,0.4863,1.18169999999998
5.41,-0.0164772117441713,0,0.4863,1.18169999999998
5.43,-0.0162958985303521,0,0.4863,1.18169999999998
5.54,-0.015401867497943,0,0.4219,1.13569999999999
5.01,-0.0153746993683865,0,0.8398,1.44729999999998
6.25,-0.0153365943777869,0,0.2002,0.891799999999989
5.02,-0.0152429908499177,0,0.8398,1.44729999999998
5.04,-0.0152351077405773,0,0.8398,1.44729999999998
5.03,-0.015167362726732,0,0.8398,1.44729999999998
7.1,-0.0150693858678346,0.382830139300229,0.067,0.747799999999984
5.95,-0.0145484321211018,0,0.349,0.97709999999995
5.9,-0.0143561792902803,0.378335418039988,0.349,0.97709999999995
6.05,-0.0142459140850478,0,0.3114,0.943499999999972
5.52,-0.0142074725029652,0,0.4219,1.13569999999999
5.53,-0.0141416069442845,0,0.4219,1.13569999999999
5.51,-0.0138338744687073,0,0.4219,1.13569999999999
6.13,-0.0134427089574892,0,0.249,0.914899999999989
6.14,-0.0131641801728938,0,0.249,0.914899999999989
6.12,-0.0129732059101111,0,0.249,0.914899999999989
6.11,-0.0129387717675511,0,0.249,0.914899999999989
6.9,-0.0128337002036345,0.35962078788203,0.1355,0.769199999999955
6,-0.0113681113846309,0.35049698366449,0.3114,0.943499999999972
6.34,-0.011251482157137,0,0.1581,0.873199999999997
7.03,-0.0107587064310962,0,0.0969,0.756799999999998
7.01,-0.0107366456465558,0,0.0969,0.756799999999998
7.02,-0.0107333998330656,0,0.0969,0.756799999999998
7.04,-0.0106830293324465,0,0.0969,0.756799999999998
6.31,-0.0105395781905347,0,0.1581,0.873199999999997
5.7,-0.0105065980862043,0.415186985307746,0.3844,1.05339999999995
6.23,-0.0105034037812493,0,0.2002,0.891799999999989
6.24,-0.0104514287698401,0,0.2002,0.891799999999989
6.32,-0.0102932025417618,0,0.1581,0.873199999999997
6.33,-0.0102419540545228,0,0.1581,0.873199999999997
6.21,-0.0102240872665224,0,0.2002,0.891799999999989
6.22,-0.00998840692642383,0,0.2002,0.891799999999989
7.15,-0.00916576694147225,0,0.067,0.747799999999984
5.91,-0.00897787824294596,0,0.349,0.97709999999995
5.92,-0.0089571433204102,0,0.349,0.97709999999995
5.75,-0.0087821748949344,0,0.3844,1.05339999999995
5.94,-0.00865940137892363,0,0.349,0.97709999999995
5.93,-0.00847701489297333,0,0.349,0.97709999999995
6.91,-0.00829492775556062,0,0.1355,0.769199999999955
3.25,-0.00815212075706967,0,7.7363,8.52259999999995
6.92,-0.00812508895127177,0,0.1355,0.769199999999955
6.93,-0.00806125168792136,0,0.1355,0.769199999999955
6.94,-0.00802683751076483,0,0.1355,0.769199999999955
6.02,-0.00800519736878839,0,0.3114,0.943499999999972
6.03,-0.00799517318263554,0,0.3114,0.943499999999972
6.04,-0.00784410604123051,0,0.3114,0.943499999999972
6.01,-0.0077386442121792,0,0.3114,0.943499999999972
7.85,-0.00769112778037191,0,0.0508,0.689699999999959
5.6,-0.00717908453882023,0.397512230895067,0.4054,1.09359999999998
7.11,-0.00663715405581341,0,0.067,0.747799999999984
7.13,-0.00660422572489469,0,0.067,0.747799999999984
7.14,-0.00659954783434205,0,0.067,0.747799999999984
7.12,-0.00655453508992451,0,0.067,0.747799999999984
7.95,-0.00649250645071794,0,0.0378,0.684199999999976
5.74,-0.00634902807962199,0,0.3844,1.05339999999995
3.2,-0.00630062656967459,,7.7363,8.52259999999995
7.75,-0.00622848040089207,0,0.0691,0.696599999999989
5.73,-0.00599760750433067,0,0.3844,1.05339999999995
5.71,-0.00596588891899213,0,0.3844,1.05339999999995
5.72,-0.00588758452336707,0,0.3844,1.05339999999995
6.85,-0.00508586917002811,0,0.1703,0.785199999999975
7.8,-0.00478880092437195,0.369512719890772,0.0508,0.689699999999959
7.7,-0.00472033852525435,0.369683786657798,0.0691,0.696599999999989
5.65,-0.00441904314322458,0,0.4054,1.09359999999998
6.8,-0.00425163246354064,0.36989537876196,0.1703,0.785199999999975
7.9,-0.00418881343223959,0.379136903795719,0.0378,0.684199999999976
3.22,-0.00398353783752966,0,7.7363,8.52259999999995
3.21,-0.00398157497164918,0,7.7363,8.52259999999995
3.24,-0.0039722245953841,0,7.7363,8.52259999999995
3.23,-0.00396245760235638,0,7.7363,8.52259999999995
7.83,-0.00369500574789003,0,0.0508,0.689699999999959
7.82,-0.00367726981660066,0,0.0508,0.689699999999959
7.84,-0.00360786267931024,0,0.0508,0.689699999999959
7.81,-0.00356039097811324,0,0.0508,0.689699999999959
6.45,-0.00331765354627293,0,0.1518,0.856799999999964
7.74,-0.00330535248615407,0,0.0691,0.696599999999989
7.25,-0.00326122030062501,0,0.0576,0.740499999999997
5.61,-0.0032408574788227,0,0.4054,1.09359999999998
5.64,-0.00320997119625969,0,0.4054,1.09359999999998
7.72,-0.00320066745689765,0,0.0691,0.696599999999989
5.62,-0.00320033295367366,0,0.4054,1.09359999999998
5.63,-0.00316545308927311,0,0.4054,1.09359999999998
7.71,-0.00315838162529333,0,0.0691,0.696599999999989
6.4,-0.00313351103732472,0.415459942349999,0.1518,0.856799999999964
7.73,-0.00310783082834904,0,0.0691,0.696599999999989
7.94,-0.00302765862932888,0,0.0378,0.684199999999976
6.84,-0.00299810574604509,0,0.1703,0.785199999999975
7.93,-0.0029459458495711,0,0.0378,0.684199999999976
6.82,-0.00294101608502529,0,0.1703,0.785199999999975
6.83,-0.00293822974173094,0,0.1703,0.785199999999975
7.91,-0.00285996972497564,0,0.0378,0.684199999999976
7.92,-0.00284860234153375,0,0.0378,0.684199999999976
6.81,-0.00280542134152656,0,0.1703,0.785199999999975
7.2,-0.00244364985047337,0.406329779643035,0.0576,0.740499999999997
8.55,-0.00239232666198144,0,0.035,0.653899999999965
