Sample time,accel,throttle,speed,separation
7.45,0.057455035965791,0.489468917774641,11.9814,25.1546
7.55,0.055818830868982,0.445884545689631,12.319,23.935
7.85,0.0553721930645648,0.427824898425117,13.23,20.0887
7.4,0.0533185873243102,1,11.9814,25.1546
7.75,0.0530144101455235,0.45843853383938,12.9286,21.4012
7.9,0.0520705020401064,1,13.5105,18.7471
7.95,0.0514350536755335,0.380268510896805,13.5105,18.7471
7.5,0.0459467940979013,1,12.319,23.935
7.7,0.0442402233938035,1,12.9286,21.4012
7.65,0.0432275376996601,0.453240913302446,12.6237,22.6833
8,0.043157309903608,1,13.7673,17.3786
7.8,0.0388884754117525,1,13.23,20.0887
8.15,0.0369293555182851,0.138762090450865,13.9891,15.9857
8.1,0.0365565379658097,1,13.9891,15.9857
7.6,0.0360578986500058,1,12.6237,22.6833
7.44,0.0320865611550016,0.552132628086303,11.9814,25.1546
7.43,0.0317572877911862,0.631451903169021,11.9814,25.1546
7.42,0.0314938767264634,0.730439211367223,11.9814,25.1546
7.41,0.0309421559863844,0.852013037991324,11.9814,25.1546
8.05,0.0300021076791775,0.284422048642635,13.7673,17.3786
8.2,0.0296440031345785,1,14.1601,14.5725
7.91,0.0268633768055682,0.869252066591813,13.5105,18.7471
7.92,0.0267024818620933,0.742690719963148,13.5105,18.7471
7.93,0.0266911837590869,0.622625860511854,13.5105,18.7471
7.94,0.0266836590177439,0.51102383100626,13.5105,18.7471
7.54,0.0263617085401689,0.511967712116549,12.319,23.935
7.53,0.0261312787707644,0.597174123367988,12.319,23.935
7.52,0.0261311823240635,0.694854777930771,12.319,23.935
7.51,0.0261113005815309,0.829892709182431,12.319,23.935
7.72,0.0254198625529281,0.759626921238055,12.9286,21.4012
7.73,0.0254104678841077,0.650777867054535,12.9286,21.4012
7.74,0.0253916439063607,0.550689930507358,12.9286,21.4012
7.71,0.0253160547329304,0.876023979532795,12.9286,21.4012
7.84,0.0235321698624589,0.528536962457118,13.23,20.0887
7.83,0.02351120172666,0.634763731619784,13.23,20.0887
7.81,0.0235104059280233,0.871528285076719,13.23,20.0887
7.82,0.0235032112061634,0.749252155822522,13.23,20.0887
7.61,0.0215335477155141,0.862758861918567,12.6237,22.6833
7.62,0.0210435390433685,0.740832529614634,12.6237,22.6833
7.63,0.0209734714207901,0.624840256437551,12.6237,22.6833
7.64,0.0209648665618754,0.530805192990815,12.6237,22.6833
8.14,0.0205973639618109,0.380183486814471,13.9891,15.9857
8.12,0.0203741924033312,0.74977374827861,13.9891,15.9857
8.13,0.0203344636243914,0.618189505952105,13.9891,15.9857
8.11,0.0201182103702473,0.875687933383017,13.9891,15.9857
8.25,0.0199347553425404,0,14.1601,14.5725
8.01,0.0191269260993083,0.870494550787327,13.7673,17.3786
8.02,0.0190719554638343,0.74292875927635,13.7673,17.3786
8.04,0.0189172522616984,0.487175397669912,13.7673,17.3786
8.03,0.0188770264410485,0.620127510453566,13.7673,17.3786
8.35,0.0174867691076568,0,14.2668,13.1453
8.3,0.013502279286069,1,14.2668,13.1453
8.23,0.0131705665029831,0.401115309443327,14.1601,14.5725
8.24,0.0129398007862466,0.135713778231474,14.1601,14.5725
8.21,0.0129386336273224,0.863407876025419,14.1601,14.5725
8.22,0.0129044199635587,0.68581350047594,14.1601,14.5725
8.45,0.0104109550534752,0,14.3297,11.7099
8.4,0.0102729434816572,,14.3297,11.7099
8.34,0.00857248499109101,0,14.2668,13.1453
8.31,0.00855805917581596,0.806363859662108,14.2668,13.1453
8.33,0.00853592022321874,0.222083239454923,14.2668,13.1453
8.32,0.00850667458411535,0.514201134713192,14.2668,13.1453
8.44,0.00589425622308936,0,14.3297,11.7099
8.43,0.00587956359312053,0,14.3297,11.7099
8.42,0.00582212856973253,0,14.3297,11.7099
8.41,0.00570989666976819,0,14.3297,11.7099
10.95,0.00326768583893804,0,0.0069,0.170000000000016
11.05,0.00250800772494041,0,0.0106,0.169600000000003
10.9,0.00211008968421306,0.111349486711605,0.0069,0.170000000000016
11,0.00207851279606127,0.117994877472006,0.0106,0.169600000000003
10.3,0.00187108562416086,0.0109520947827648,0.0424,0.168900000000008
10.35,0.00173587335747543,0,0.0424,0.168900000000008
10.94,0.00159916125206711,0,0.0069,0.170000000000016
10.93,0.00159840629401018,0,0.0069,0.170000000000016
10.92,0.00158610084007053,0,0.0069,0.170000000000016
10.91,0.00157123589474638,0,0.0069,0.170000000000016
11.04,0.00133124980591744,0,0.0106,0.169600000000003
11.03,0.00132683136361033,0,0.0106,0.169600000000003
11.02,0.00132060558045573,0,0.0106,0.169600000000003
11.01,0.00131237487811911,0,0.0106,0.169600000000003
10.33,0.00105441396700846,0,0.0424,0.168900000000008
10.34,0.00105397208206694,0,0.0424,0.168900000000008
10.31,0.00105235684657378,0,0.0424,0.168900000000008
10.32,0.00105141992130327,0,0.0424,0.168900000000008
11.75,0.000714619698962288,0,0.002,0.167500000000018
11.1,0.000701198671931683,0.107958654369021,0.0116,0.169199999999989
11.7,0.000662499990127981,0.113158398267639,0.002,0.167500000000018
11.85,0.000574003041177544,0,0.0029,0.167300000000012
11.15,0.000557799180251563,0,0.0116,0.169199999999989
11.8,0.00043878878615915,0.11365978736079,0.0029,0.167300000000012
11.74,0.000406690070982587,0,0.002,0.167500000000018
11.71,0.000394091776608252,0,0.002,0.167500000000018
11.72,0.000393562750305983,0,0.002,0.167500000000018
11.73,0.000393098454348905,0,0.002,0.167500000000018
11.14,0.000357220761589883,0,0.0116,0.169199999999989
11.11,0.00034834357774583,0,0.0116,0.169199999999989
11.13,0.000346439996464817,0,0.0116,0.169199999999989
11.12,0.000345949084670551,0,0.0116,0.169199999999989
11.84,0.000303664170771968,0,0.0029,0.167300000000012
11.81,0.000287558806792861,0,0.0029,0.167300000000012
11.82,0.00028748785085164,0,0.0029,0.167300000000012
11.83,0.000286677415214689,0,0.0029,0.167300000000012
11.9,5.21429912293244E-05,0.110225183860361,0.003,0.167200000000037
13.35,5.06303467939456E-05,0,0.0001,0.165099999999995
11.95,4.78385696460386E-05,0,0.003,0.167200000000037
13.3,4.01136566867986E-05,0.111139340739102,0.0001,0.165099999999995
13.34,3.07053220164775E-05,0,0.0001,0.165099999999995
11.94,2.89709896667957E-05,0,0.003,0.167200000000037
13.32,2.84783196157539E-05,0,0.0001,0.165099999999995
13.33,2.84318150235728E-05,0,0.0001,0.165099999999995
11.91,2.79115625615554E-05,0,0.003,0.167200000000037
11.92,2.78650562708442E-05,0,0.003,0.167200000000037
11.93,2.77900617644682E-05,0,0.003,0.167200000000037
13.31,2.70487351408799E-05,0,0.0001,0.165099999999995
7.01,6.85740945263527E-10,0,11.6646,-308.1483
7.1,0,,11.6646,28.6633
7.11,0,0,11.6646,28.6633
7.12,0,0,11.6646,28.6633
7.13,0,0,11.6646,28.6633
7.14,0,0,11.6646,28.6633
7.15,0,0,11.6646,28.6633
12.3,0,0.11098792357543,0,0.166600000000017
12.31,0,0,0,0.166600000000017
12.32,0,0,0,0.166600000000017
12.33,0,0,0,0.166600000000017
12.34,0,0,0,0.166600000000017
12.35,0,0,0,0.166600000000017
12.4,0,0.113071554919116,0,0.16640000000001
