Sample time,accel,throttle,speed,separation
5.9,-0.589647479521441,0.23738879462859,2.707,2.37979999999999
5.75,-0.582072731063398,0,3.6673,3.01979999999998
5.7,-0.575904016865674,0.18367060936108,3.6673,3.01979999999998
5.85,-0.485591894023911,0,3.2138,2.67610000000002
5.6,-0.435849688358087,0.0354433428299281,4.2717,3.40390000000002
5.95,-0.416757821233213,0,2.707,2.37979999999999
5.73,-0.395867630310365,0,3.6673,3.01979999999998
5.72,-0.391754778657947,0,3.6673,3.01979999999998
5.74,-0.39164341625443,0,3.6673,3.01979999999998
5.71,-0.388927517497645,0,3.6673,3.01979999999998
6.1,-0.357085088725534,0.181024367821971,1.9305,1.91109999999998
5.8,-0.339512763788958,0.118418659374384,3.2138,2.67610000000002
6.05,-0.326020278968285,0,2.3479,2.12529999999998
5.91,-0.325854083107096,0,2.707,2.37979999999999
5.65,-0.321207566306994,0,4.2717,3.40390000000002
5.92,-0.320395456377468,0,2.707,2.37979999999999
5.93,-0.318610439198405,0,2.707,2.37979999999999
5.94,-0.315595777433661,0,2.707,2.37979999999999
5.5,-0.308159072870615,0.300095770011997,4.5771,3.8116
5.55,-0.304344794698967,0,4.5771,3.8116
6,-0.299131421126637,0.139203691037441,2.3479,2.12529999999998
5.83,-0.274311863331285,0,3.2138,2.67610000000002
5.84,-0.2738332374544,0,3.2138,2.67610000000002
5.81,-0.270301856043973,0,3.2138,2.67610000000002
5.82,-0.269992997078804,0,3.2138,2.67610000000002
5.61,-0.250502189620005,0,4.2717,3.40390000000002
5.62,-0.243604456514297,0,4.2717,3.40390000000002
5.63,-0.240054055265599,0,4.2717,3.40390000000002
5.64,-0.239577239964314,0,4.2717,3.40390000000002
14.05,-0.239233689032203,0,0.3768,0.614300000000014
6.15,-0.232595238042095,0,1.9305,1.91109999999998
6.35,-0.213924232379721,0,1.2335,1.59739999999999
6.3,-0.211679523655372,0.126396402319617,1.2335,1.59739999999999
9.95,-0.211134254228133,0,0.3003,0.619599999999991
5.54,-0.209155753542175,0,4.5771,3.8116
5.53,-0.20854021594746,0,4.5771,3.8116
14,-0.207186146004675,0.11293874983358,0.3768,0.614300000000014
6.2,-0.20656550021389,0.0839032664787439,1.6139,1.73329999999999
5.51,-0.205892124514369,0,4.5771,3.8116
5.52,-0.205103985494998,0,4.5771,3.8116
6.04,-0.201537794179631,0,2.3479,2.12529999999998
6.25,-0.199754900755596,0,1.6139,1.73329999999999
6.03,-0.199527940132659,0,2.3479,2.12529999999998
6.02,-0.19737965841289,0,2.3479,2.12529999999998
6.01,-0.194118675300037,0,2.3479,2.12529999999998
16.05,-0.191196767908257,0,0.3411,0.603200000000015
11.95,-0.191185478810039,0,0.7984,0.700400000000002
13.9,-0.189364040871272,0.0862293554143996,0.7663,0.671299999999974
6.11,-0.186141379806767,0,1.9305,1.91109999999998
13.95,-0.185064089086815,0,0.7663,0.671299999999974
11.9,-0.183967086507592,0.0771967599753966,0.7984,0.700400000000002
6.12,-0.183921662909167,0,1.9305,1.91109999999998
6.14,-0.182953151394118,0,1.9305,1.91109999999998
14.1,-0.182353077910922,0.0471878500882083,0.0782,0.593200000000024
9.8,-0.181940184131117,0.0515659491120716,0.6861,0.667699999999968
6.13,-0.181487276067183,0,1.9305,1.91109999999998
9.75,-0.181153106234549,0,1.0186,0.749099999999999
8,-0.174662704055868,0.126187497844574,0.077,0.734500000000025
9.9,-0.17457280704953,0.0240079185007228,0.3003,0.619599999999991
8.05,-0.173155710355643,0,0.077,0.734500000000025
6.45,-0.172508776006235,0,0.9306,1.50530000000003
6.4,-0.17160978306561,0.121005228331794,0.9306,1.50530000000003
12.15,-0.171164219540793,0,0.0668,0.620099999999979
22.1,-0.170068027972162,0.0243433458860544,0.1173,0.641400000000033
7.9,-0.165270311355849,0.0225970136387872,0.425,0.758100000000013
7.95,-0.164928306410241,0,0.425,0.758100000000013
6.5,-0.163979349440994,0.346728746549081,0.6263,1.45769999999999
16,-0.163736643795609,0.122647211797455,0.3411,0.603200000000015
20.05,-0.1623699765279,0,0.2911,0.610500000000002
7.75,-0.158872057021016,0,1.062,0.899999999999977
22.15,-0.158801164965309,0,0.1173,0.641400000000033
24.05,-0.158319534799915,0,0.2938,0.6173
12.05,-0.154864313673714,0,0.3957,0.640899999999988
9.85,-0.15465757015896,0,0.6861,0.667699999999968
