Sample time,accel,throttle,speed,separation
4.25,-0.111871228987552,0,0.5157,4.41159999999996
5.9,-0.105885115366991,,0.447,3.8073
8.05,-0.104504223257223,0,0.3943,3.55420000000004
36.1,-0.100893910652921,,0.2678,3.51669999999996
22.2,-0.0997952009556377,,0.2149,3.50110000000001
22.25,-0.0954185729097671,0,0.2149,3.50110000000001
16.1,-0.0934830861102504,0.100494973340924,0.3996,3.43020000000001
16.55,-0.0927952722981174,0,0.1676,3.3399
5.95,-0.0914721871365734,0,0.447,3.8073
22.3,-0.0895070383574075,,0.1293,3.48719999999997
4.2,-0.089480951272416,,0.5157,4.41159999999996
8.1,-0.0886993092651478,,0.3119,3.51779999999997
22.35,-0.0881649646880863,0,0.1293,3.48719999999997
14.3,-0.0871234022083743,,0.0572,3.44449999999995
20.1,-0.0855065200761838,,0.2495,3.49919999999997
4.1,-0.0853929714882452,,0.5815,4.46569999999997
4.24,-0.084851687040362,0,0.5157,4.41159999999996
36.15,-0.0847157030719283,0,0.2678,3.51669999999996
14.1,-0.0846565214568828,,0.2017,3.46549999999996
4.23,-0.0842435389067288,0.0578311680752856,0.5157,4.41159999999996
4.15,-0.0834909375455817,0,0.5815,4.46569999999997
24.1,-0.0832960418425897,,0.235,3.57190000000003
4.22,-0.0832775715440972,0,0.5157,4.41159999999996
28.3,-0.083238696505693,,0.1983,3.37059999999997
36.3,-0.0826731201757422,,0.124,3.48289999999997
13.9,-0.082629806469638,,0.37,3.52359999999999
5.85,-0.0823695119274534,0,0.5357,3.85629999999998
4.21,-0.0821196342504842,0.18727731196195,0.5157,4.41159999999996
15.9,-0.0816760362940407,0.325725463270811,0.5016,3.52629999999999
20.15,-0.0812700300421301,0,0.2495,3.49919999999997
25.95,-0.078903725046102,0,0.4636,3.58289999999999
8.04,-0.0779685293103936,0,0.3943,3.55420000000004
7.9,-0.0778193053719716,0.0637759851034336,0.4601,3.59730000000002
36.14,-0.0777364208279129,0,0.2678,3.51669999999996
16.5,-0.0775908446890999,,0.1676,3.3399
6.1,-0.0775655086669362,,0.298,3.73329999999999
7.8,-0.0768925891685633,,0.5446,3.64710000000002
24,-0.0768872611969877,,0.3199,3.60050000000001
24.05,-0.0768864993410687,0,0.3199,3.60050000000001
34.15,-0.0764802008646374,0,0.1876,3.47309999999999
20.4,-0.0762752161871218,,0.1097,3.45950000000005
34.35,-0.0762103842226879,0,0.0631,3.45389999999998
22.1,-0.0757732867638203,5.61585412424626E-05,0.3121,3.5274
12.3,-0.075289314275898,0.0233920017762336,0.2221,3.33230000000003
7.85,-0.0741488526676803,0,0.5446,3.64710000000002
5.8,-0.074136881814444,,0.5357,3.85629999999998
6.05,-0.0736646514919831,0,0.3666,3.76600000000002
22.45,-0.0735735879764178,0,0.0617,3.48739999999998
5.84,-0.0735079039275732,0,0.5357,3.85629999999998
28.15,-0.0734293722072098,0,0.3285,3.41969999999998
12.4,-0.0732171061665785,,0.1472,3.32370000000003
18.2,-0.0730580491929654,,0.2386,3.39850000000001
22.15,-0.0730303683635321,0,0.3121,3.5274
32.4,-0.0726514115426641,,0.134,3.33440000000002
28.35,-0.0724857614342685,0,0.1983,3.37059999999997
