Sample time,accel,throttle,speed,separation
22.4,-0.122130411994484,0.124924170451555,0.1986,3.2321
26.35,-0.114550686736438,0,0.2703,3.25379999999996
20.3,-0.108516251367001,,0.1885,3.37299999999999
5.9,-0.102906333969337,0.212538361247022,0.569,3.78880000000004
26.2,-0.102739175006952,0.186208144364383,0.3751,3.28340000000003
22.25,-0.101791879819349,0,0.416,3.28089999999997
22.35,-0.0997511727094368,0,0.3046,3.24740000000003
5.95,-0.0981089098045259,0,0.569,3.78880000000004
12.2,-0.0964783193922788,0.172862291989501,0.3724,3.26179999999999
14.25,-0.0954787973062695,0,0.2422,3.29640000000001
18.2,-0.094034203418974,0.188713822078153,0.3646,3.30039999999997
12.4,-0.0939952611382285,0.114699689827867,0.1588,3.22179999999997
22.2,-0.0937207971461712,0.192180536126344,0.416,3.28089999999997
26.4,-0.091543910856142,0.121027726872057,0.1726,3.2405
20.35,-0.0906618153140373,0,0.1885,3.37299999999999
15.9,-0.090619554981754,0.26105535854491,0.4248,3.49059999999997
26.25,-0.0897610421063528,0,0.3751,3.28340000000003
14.1,-0.0889257862675947,0.184948783191942,0.3262,3.32510000000002
6,-0.0882058936361531,0.0644862719568428,0.4682,3.73439999999999
26.15,-0.0881017011961162,0,0.4764,3.32659999999998
12.25,-0.0879741122200946,0,0.3724,3.26179999999999
14.4,-0.0872429132133157,,0.0912,3.27639999999997
14.3,-0.0863248379049793,,0.1625,3.27909999999997
28.25,-0.0855012093469691,0,0.1229,3.42950000000002
7.8,-0.0852603196377499,0.363374989068091,0.6682,3.5677
12.3,-0.0849521764331558,0.142416439394458,0.261,3.23289999999997
12.15,-0.0843782259617252,0,0.4838,3.30630000000002
24.05,-0.0842345374025885,0,0.3363,3.4502
28.1,-0.0839237380876034,,0.2121,3.44500000000005
22.5,-0.0832846615590075,0.0572099216495203,0.1082,3.23679999999996
22.24,-0.0827693024190743,0,0.416,3.28089999999997
26.5,-0.0819928459307945,,0.0917,3.24739999999997
26.21,-0.0816677485401474,0,0.3751,3.28340000000003
30.45,-0.0815507455848666,0,0.2116,3.29629999999997
30.55,-0.081182542164468,0,0.1351,3.2989
22.23,-0.0811558724515515,0,0.416,3.28089999999997
12.35,-0.0809951212815121,0,0.261,3.23289999999997
8.3,-0.0805116013693737,0.177257071681822,0.321,3.30110000000002
26.22,-0.0803504993882225,0.0175139571143032,0.3751,3.28340000000003
7.85,-0.0803324669751224,0,0.6682,3.5677
22.22,-0.0797517968429914,0.0169016705946251,0.416,3.28089999999997
18.35,-0.0795754438905998,0,0.2672,3.2715
8.2,-0.0793499249067477,0.210636291736269,0.4129,3.33530000000002
12.45,-0.0792909300906007,0,0.1588,3.22179999999997
5.94,-0.0786807677270426,0,0.569,3.78880000000004
30.4,-0.0785148091711668,0.142289511525931,0.2116,3.29629999999997
22.55,-0.0783020361230314,0,0.1082,3.23679999999996
16.35,-0.0780228436249549,0,0.1688,3.36669999999998
5.85,-0.0778348070625119,0,0.6783,3.85120000000001
26.23,-0.0776379495013357,0,0.3751,3.28340000000003
26.45,-0.077421942163594,0,0.1726,3.2405
26.55,-0.0772589962135443,0,0.0917,3.24739999999997
8.05,-0.0771335605226413,0,0.5701,3.43790000000001
26.3,-0.0770665709156194,0.150012193564444,0.2703,3.25379999999996
20.34,-0.0766035453941528,0,0.1885,3.37299999999999
22.45,-0.0765306209429906,0,0.1986,3.2321
22.21,-0.0762219312213104,0,0.416,3.28089999999997
28.15,-0.0760059812476163,0,0.2121,3.44500000000005
6.05,-0.0758178022143556,0,0.4682,3.73439999999999
6.1,-0.0755399230258919,,0.393,3.69110000000001
30.44,-0.0751544215205793,0,0.2116,3.29629999999997
22.3,-0.0747151626639632,0.15484210483997,0.3046,3.24740000000003
12.05,-0.0741187926969727,0,0.577,3.36110000000002
28.05,-0.0739920877704564,0,0.3057,3.47280000000001
12.1,-0.0737564401509434,0.232490770757953,0.4838,3.30630000000002
8.1,-0.073179293299995,0.26999392106196,0.4976,3.38259999999997
8.35,-0.0731745657155115,0,0.321,3.30110000000002
12.21,-0.0729958124602601,0,0.3724,3.26179999999999
14.35,-0.0728141297117154,0,0.1625,3.27909999999997
15.95,-0.0726732989758251,0,0.4248,3.49059999999997
14.05,-0.0726062459089999,0,0.4082,3.36439999999999
16.3,-0.0724416120257416,,0.1688,3.36669999999998
12,-0.072352569670501,0.283399515422666,0.577,3.36110000000002
5.93,-0.0723019000094629,0,0.569,3.78880000000004
26.34,-0.0722465298206341,0,0.2703,3.25379999999996
8.25,-0.0717945837013085,0,0.4129,3.33530000000002
5.91,-0.0717491219432033,0,0.569,3.78880000000004
8.4,-0.0714094034660065,0.143070827622861,0.2316,3.28319999999997
22.15,-0.0710325207875987,0,0.5181,3.32929999999999
8,-0.0709579379214737,0.299829048158441,0.5701,3.43790000000001
12.24,-0.0708925132531217,0,0.3724,3.26179999999999
20.31,-0.0706891474399953,0,0.1885,3.37299999999999
20.1,-0.0705598789950395,0.217071717990345,0.3428,3.4239
20.4,-0.070268118612833,,0.1095,3.36840000000001
24,-0.0702035818973842,0.244387625872631,0.3363,3.4502
8.34,-0.0701585229192148,0,0.321,3.30110000000002
12.23,-0.0701418110198395,0,0.3724,3.26179999999999
26.24,-0.0699604318652965,0,0.3751,3.28340000000003
5.92,-0.069815003396046,0.0302737650137614,0.569,3.78880000000004
12.22,-0.0696665909633093,0.00987703379865241,0.3724,3.26179999999999
18.3,-0.0695168003484985,0.154462834995186,0.2672,3.2715
22.34,-0.0694388168016074,0,0.3046,3.24740000000003
4.85,-0.0689885680522509,0.0302305532540911,0.411,4.18349999999998
26.33,-0.0689877533621801,0,0.2703,3.25379999999996
22.41,-0.0685862903387537,0,0.1986,3.2321
18.4,-0.0680880247414066,0.124078176852124,0.1755,3.25920000000002
20.33,-0.0678193146986721,0,0.1885,3.37299999999999
30.5,-0.0677094512581138,,0.1351,3.2989
22.42,-0.0676854933196926,0.000631287125887647,0.1986,3.2321
20.25,-0.0676787103337167,0,0.2784,3.39240000000001
18.55,-0.0674402051828934,0,0.0977,3.26460000000003
8.5,-0.0674324091019547,,0.1489,3.28309999999999
20.32,-0.0674130099045303,0,0.1885,3.37299999999999
14.24,-0.0673871408023992,0,0.2422,3.29640000000001
20.5,-0.0671356778887929,,0.043,3.38220000000001
7.84,-0.0671237869250582,0,0.6682,3.5677
18.34,-0.067043885121607,0,0.2672,3.2715
26.1,-0.0670358507222237,0.233437530615642,0.4764,3.32659999999998
18.25,-0.0668380001721836,0,0.3646,3.30039999999997
22.31,-0.066808525494009,0,0.3046,3.24740000000003
18.6,-0.0666852657708893,,0.0341,3.29039999999998
12.14,-0.0666814160898208,0,0.4838,3.30630000000002
28.2,-0.0666405275213834,,0.1229,3.42950000000002
24.04,-0.0662717628946729,0,0.3363,3.4502
22.43,-0.0660605700038484,0,0.1986,3.2321
8.24,-0.0659288389718846,0,0.4129,3.33530000000002
12.44,-0.065633133183895,0,0.1588,3.22179999999997
14.45,-0.0654694287015307,0,0.0912,3.27639999999997
22.1,-0.0652497206707981,0.254951902422363,0.5181,3.32929999999999
22.33,-0.0651106111608126,0,0.3046,3.24740000000003
20.55,-0.0650869975918009,0,0.043,3.38220000000001
12.41,-0.0650678473434469,0,0.1588,3.22179999999997
12.11,-0.0649730627875435,0,0.4838,3.30630000000002
26.32,-0.0647522765667214,0.00710475653210958,0.2703,3.25379999999996
12.43,-0.0647441198646689,0,0.1588,3.22179999999997
26.31,-0.0646723457171568,0,0.2703,3.25379999999996
18.15,-0.0645299146469419,0,0.459,3.34319999999997
22.32,-0.0644521843053787,0.00524800796277685,0.3046,3.24740000000003
12.42,-0.0644261151758178,0,0.1588,3.22179999999997
8.55,-0.0643714804168097,0,0.1489,3.28309999999999
18.33,-0.0643483590369606,0,0.2672,3.2715
30.43,-0.0642438039798515,0,0.2116,3.29629999999997
26.42,-0.063906849568011,0.0034212706231012,0.1726,3.2405
12.31,-0.0635403814227744,0,0.261,3.23289999999997
5.8,-0.0634900906829814,0.0236110016483405,0.6783,3.85120000000001
26.43,-0.063461484978009,0,0.1726,3.2405
20.05,-0.0633021390690687,0,0.3993,3.46370000000002
28,-0.0632606520949372,0.122954637116561,0.3057,3.47280000000001
28.11,-0.0632099449349847,0,0.2121,3.44500000000005
17.85,-0.0631445597312738,0,0.6493,3.5188
14.23,-0.062789765341384,0,0.2422,3.29640000000001
26.41,-0.0627617668960468,0,0.1726,3.2405
30.1,-0.0627502294065178,0.247113081022295,0.4617,3.38689999999997
18.45,-0.0627421729718619,0,0.1755,3.25920000000002
18.1,-0.06268866854623,0.236661227257283,0.459,3.34319999999997
12.04,-0.0626199148828542,0,0.577,3.36110000000002
22.44,-0.0625556616450056,0,0.1986,3.2321
12.12,-0.0624045766756969,0.0313323572989226,0.4838,3.30630000000002
18.5,-0.0623994835432968,,0.0977,3.26460000000003
14.2,-0.0623446629824869,0.156773969988609,0.2422,3.29640000000001
16.4,-0.06231242434509,,0.0925,3.36500000000001
18.32,-0.0622067190683425,0.0115116253439536,0.2672,3.2715
22.51,-0.0619820185897792,0,0.1082,3.23679999999996
7.83,-0.0619812137899368,0,0.6682,3.5677
18.21,-0.0617633988547148,0,0.3646,3.30039999999997
8.32,-0.0617568376933824,0.0212737173160012,0.321,3.30110000000002
12.34,-0.0616681601262807,0,0.261,3.23289999999997
30.3,-0.0614364396892852,0.170921179179554,0.2958,3.31190000000004
7.81,-0.0614162127142146,0,0.6682,3.5677
26.44,-0.0613486927022358,0,0.1726,3.2405
7.82,-0.061298172788339,0.117030132776166,0.6682,3.5677
12.13,-0.0612885075052758,0,0.4838,3.30630000000002
8.31,-0.0612696466623749,0,0.321,3.30110000000002
30.2,-0.0612627036954686,0.211189201568164,0.3809,3.3442
8.45,-0.0612604257196211,0,0.2316,3.28319999999997
30.42,-0.0612469623337501,0.0137237586358877,0.2116,3.29629999999997
16.32,-0.0610695972081327,0,0.1688,3.36669999999998
16.34,-0.0610131108202873,0,0.1688,3.36669999999998
20.2,-0.0610121922659921,0.00625552341243849,0.2784,3.39240000000001
22.54,-0.0609976547201925,0,0.1082,3.23679999999996
12.01,-0.0609440245884966,0,0.577,3.36110000000002
27.9,-0.0608555307208979,,0.3933,3.50779999999997
8.15,-0.0608281137480197,0,0.4976,3.38259999999997
6.04,-0.0607169148800197,0,0.4682,3.73439999999999
12.03,-0.0607136198525568,0,0.577,3.36110000000002
28.12,-0.0606325790404411,0,0.2121,3.44500000000005
22.05,-0.0606138781074543,0,0.6035,3.38729999999998
22.53,-0.060586632578221,0,0.1082,3.23679999999996
16.31,-0.0605043779934265,0,0.1688,3.36669999999998
14.22,-0.0604339617074853,0.0176222755734825,0.2422,3.29640000000001
8.33,-0.0604054970655759,0,0.321,3.30110000000002
8.21,-0.0603922734891628,0,0.4129,3.33530000000002
28.24,-0.0603150619704141,0,0.1229,3.42950000000002
16.1,-0.0603144077889041,,0.309,3.41250000000002
18.54,-0.0601522348452031,0,0.0977,3.26460000000003
18.31,-0.0600886358735701,0,0.2672,3.2715
15.91,-0.0600073851393437,0,0.4248,3.49059999999997
14.21,-0.0599048749011707,0,0.2422,3.29640000000001
12.32,-0.059887448391835,0.00210488564864355,0.261,3.23289999999997
