Sample time,accel,throttle,speed,separation
3.65,0.238250555777059,0,0.4987,4.86330000000004
3.64,0.231329692259899,0.207157865533247,0.4987,4.86330000000004
3.5,0.229794150539277,0.726784020995168,0.2679,4.87180000000001
3.9,0.222850581042461,0.472657658212887,1.0101,4.68240000000003
3.75,0.205621463588555,0,0.7352,4.83159999999998
3.6,0.202857338711874,0.722224747098965,0.4987,4.86330000000004
5.9,0.195665507173711,0.433561557925157,0.4643,3.88999999999999
3.7,0.193104535641354,0.46161444737965,0.7352,4.83159999999998
3.85,0.184080138128517,0,0.89,4.77160000000004
3.63,0.182115062580306,0,0.4987,4.86330000000004
3.62,0.177749547053682,0.330556035663502,0.4987,4.86330000000004
3.61,0.165633563726581,0,0.4987,4.86330000000004
3.55,0.157374472491764,0,0.2679,4.87180000000001
5.91,0.149894930743537,0,0.4643,3.88999999999999
3.8,0.149455895844651,0.508632732331759,0.89,4.77160000000004
5.92,0.145464992481885,0.230047546171251,0.4643,3.88999999999999
3.94,0.145139989569797,0.0901969707279515,1.0101,4.68240000000003
33.8,0.145012834982353,,0.2184,3.69510000000002
3.51,0.139971853801869,0,0.2679,4.87180000000001
3.74,0.139431241952805,0.152927067122343,0.7352,4.83159999999998
3.84,0.139231501125812,0.138325197622114,0.89,4.77160000000004
3.52,0.136947289351261,0.331695857825116,0.2679,4.87180000000001
3.54,0.131594026227674,0.20452312517594,0.2679,4.87180000000001
16.8,0.131230144110792,,0.2203,3.64419999999996
5.93,0.131039882381769,0,0.4643,3.88999999999999
3.71,0.129240972376036,0,0.7352,4.83159999999998
3.91,0.128611015895873,0,1.0101,4.68240000000003
3.53,0.128432631079731,0,0.2679,4.87180000000001
3.92,0.128376664585399,0.230235777489015,1.0101,4.68240000000003
3.93,0.127776839061362,0,1.0101,4.68240000000003
5.85,0.126962163401432,0,0.3266,3.91849999999999
3.73,0.123139065116597,0,0.7352,4.83159999999998
5.94,0.123091080923254,0.125107032415302,0.4643,3.88999999999999
3.72,0.123041921331297,0.260284328798,0.7352,4.83159999999998
3.83,0.123033214054263,0,0.89,4.77160000000004
5.8,0.122893066478037,0.499999999999888,0.3266,3.91849999999999
3.82,0.122661783557897,0.266998491798138,0.89,4.77160000000004
3.95,0.122120164851682,0,1.0101,4.68240000000003
3.81,0.122083108645007,0,0.89,4.77160000000004
46.8,0.119157945490993,,0.2102,3.67629999999997
5.82,0.114039830751162,0.27004236591778,0.3266,3.91849999999999
5.81,0.112486015526314,0,0.3266,3.91849999999999
16.84,0.110995941419014,0,0.2203,3.64419999999996
5.83,0.109159047803844,0,0.3266,3.91849999999999
22.8,0.105709624455775,,0.2023,3.67540000000002
5.95,0.105475362380244,0,0.4643,3.88999999999999
15.85,0.105104991972749,0.0683926637838883,0.2271,3.65300000000002
6.05,0.10057243972448,0.0271386779817824,0.5734,3.83749999999998
5.84,0.100525486859198,0.1517601976187,0.3266,3.91849999999999
12.8,0.0986453133968032,,0.2104,3.66590000000002
16.95,0.0982846406404546,0.0634539469111062,0.2909,3.63299999999998
16.83,0.0970903703703704,0.152683240093203,0.2203,3.64419999999996
16.82,0.0969653734235918,0,0.2203,3.64419999999996
16.81,0.0967639075308686,0.26174569369521,0.2203,3.64419999999996
31.8,0.0961638586624131,0.0397310830564526,0.2061,3.70349999999996
16.85,0.0960563637710057,0.0975033286225482,0.2203,3.64419999999996
15.8,0.0958313663918333,,0.2271,3.65300000000002
33,0.0953768738077491,,0.284,3.68269999999995
38.85,0.0942672798879538,0.0619469020843644,0.2022,3.6728
33.81,0.0941742613295685,0.280407686753981,0.2184,3.69510000000002
10.8,0.0934300421064211,,0.191,3.67599999999999
12.9,0.0921759132604086,,0.2903,3.65709999999996
16.9,0.0913126714977335,,0.2909,3.63299999999998
6.04,0.0911770698514981,0,0.5734,3.83749999999998
6,0.0908828065715466,,0.5734,3.83749999999998
27.85,0.0906330893846074,0.0613863612932576,0.2105,3.6748
33.82,0.0895682345137755,0,0.2184,3.69510000000002
38.8,0.0891922467090081,,0.2022,3.6728
12.95,0.0891341752974908,0.063902750406775,0.2903,3.65709999999996
30.8,0.0877917750330533,0.00575534610609088,0.1794,3.68060000000003
33.83,0.0872343594086668,0.159541737806879,0.2184,3.69510000000002
39.8,0.0855156215471067,,0.1955,3.67220000000003
29.9,0.0847585346168041,,0.2439,3.64609999999999
22.85,0.0846313440062257,0.0527903073526442,0.2023,3.67540000000002
38.84,0.084567575293846,0,0.2022,3.6728
34.8,0.0842274954645278,,0.2219,3.66360000000003
27.84,0.0830787732145356,0.000452022147476383,0.2105,3.6748
31.85,0.0828347668994583,0.0344522805293661,0.2061,3.70349999999996
19.9,0.0822803963055931,,0.2795,3.64150000000001
33.84,0.0821180534254906,0,0.2184,3.69510000000002
12.94,0.0819378261560542,0,0.2903,3.65709999999996
22.82,0.0817343707794122,0,0.2023,3.67540000000002
30.85,0.0817266114587627,0.0456846791006655,0.1794,3.68060000000003
22.81,0.0811088964017275,0.0881547127945111,0.2023,3.67540000000002
35.8,0.0810886479519625,,0.1737,3.66679999999997
12.93,0.0804538522073351,0.092369568574533,0.2903,3.65709999999996
16.94,0.0793860385512453,0,0.2909,3.63299999999998
31.81,0.0792649142486561,0.0277561652539876,0.2061,3.70349999999996
27.83,0.0792292951526901,0.0835242536503716,0.2105,3.6748
12.92,0.0790456004755121,0,0.2903,3.65709999999996
27.8,0.0789576120479755,,0.2105,3.6748
22.83,0.0787905342047666,0.0645285217783484,0.2023,3.67540000000002
38.83,0.0783494547489646,0.0846979927689408,0.2022,3.6728
44.9,0.0783114050749655,,0.2605,3.65979999999996
27.82,0.0775325005036384,0,0.2105,3.6748
41.95,0.077291457933297,0.0642390612005621,0.24,3.6497
33.9,0.0770241910414412,,0.2973,3.68339999999995
6.03,0.0765883541151306,0.0812185181897689,0.5734,3.83749999999998
38.82,0.0763264113828506,0,0.2022,3.6728
15.84,0.0760897426879308,0,0.2271,3.65300000000002
31.82,0.0759708539268007,0.0378572205526337,0.2061,3.70349999999996
34.85,0.075646156600224,0.0929568784969876,0.2219,3.66360000000003
31.84,0.0755653795475183,0.0373343155472224,0.2061,3.70349999999996
12.91,0.074913019188469,0.150087085303061,0.2903,3.65709999999996
6.02,0.0748266384975758,0,0.5734,3.83749999999998
10.84,0.0746078880703903,0.016334041231372,0.191,3.67599999999999
33.85,0.0744713749306431,0.0980404091219936,0.2184,3.69510000000002
27.81,0.0742792391043845,0.127580725713358,0.2105,3.6748
10.85,0.0733333241236401,0.0539794620590757,0.191,3.67599999999999
22.84,0.0730547440657444,0.0190389755505346,0.2023,3.67540000000002
45.9,0.0729091709389501,,0.2517,3.66329999999999
31.83,0.0727806841817569,0.031937588697292,0.2061,3.70349999999996
38.81,0.072312431938549,0.129970855405416,0.2022,3.6728
46.85,0.0719987210652442,0.0549767975421278,0.2102,3.67629999999997
32.8,0.0718238387849308,0.135790067558304,0.1846,3.71340000000004
10.81,0.0717035571220531,0.0935674268184199,0.191,3.67599999999999
32.95,0.0715326712797049,0.0879415546506005,0.23,3.70550000000003
16.91,0.0709444463504507,0.150085196988445,0.2909,3.63299999999998
16.93,0.0704239361299851,0.0920556933183247,0.2909,3.63299999999998
15.82,0.0701995200854093,0,0.2271,3.65300000000002
15.83,0.0701419667633255,0.0953882315195862,0.2271,3.65300000000002
16.92,0.0700915472468063,0,0.2909,3.63299999999998
10.82,0.0697876370807238,0,0.191,3.67599999999999
45.8,0.0694808751065471,,0.1945,3.67189999999999
32.94,0.0690991634280075,0,0.23,3.70550000000003
39.85,0.0690765932036627,0.0564335625561036,0.1955,3.67220000000003
44.95,0.0690292785373969,0.0650933225712568,0.2605,3.65979999999996
6.01,0.0690041961197082,0.186609848612846,0.5734,3.83749999999998
46.81,0.0685403974602253,0.101981899076714,0.2102,3.67629999999997
37.95,0.0684853408325083,0.063576004781674,0.2597,3.66079999999999
44.94,0.0684291836103366,0,0.2605,3.65979999999996
15.81,0.067522197653379,0.150085840822371,0.2271,3.65300000000002
10.83,0.0669834606706128,0.0671248880360433,0.191,3.67599999999999
29.94,0.0669251604458182,0,0.2439,3.64609999999999
29.95,0.0668099395280517,0.0628838604298695,0.2439,3.64609999999999
45.85,0.0664702608932012,0.0626169268114545,0.1945,3.67189999999999
19.95,0.0664191518224545,0.0632398836483384,0.2795,3.64150000000001
38.9,0.0658868864782176,,0.2595,3.66339999999997
32.93,0.0657275999351082,0.141066459748468,0.23,3.70550000000003
41.9,0.0656332503987886,,0.24,3.6497
34.95,0.0648997220116738,0.0622186952872867,0.286,3.65279999999996
30.84,0.0644898876854282,0.0313232818472641,0.1794,3.68060000000003
34.84,0.064111822080093,0,0.2219,3.66360000000003
44.91,0.0639307343904747,0.150089013283391,0.2605,3.65979999999996
30.83,0.0636026636697466,0.0499622902339119,0.1794,3.68060000000003
30.82,0.0634463928179033,0.0223504873616946,0.1794,3.68060000000003
46.83,0.0633946485622721,0.0706221518839722,0.2102,3.67629999999997
3.45,0.0631947453463568,0,0.0671,4.86519999999996
4,0.0631031982842327,,1.0524,4.57590000000005
45.84,0.0630323232992728,0,0.1945,3.67189999999999
46.84,0.0628120501471314,0.0108036745275679,0.2102,3.67629999999997
32.9,0.0624160564303602,,0.23,3.70550000000003
3.4,0.062214897383523,0.645199128710862,0.0671,4.86519999999996
33.95,0.0620503379921474,0.0665624114110678,0.2973,3.68339999999995
7.8,0.0619723840600222,,0.1943,3.68889999999999
40.05,0.0619481476452258,0.0326725489521248,0.302,3.64330000000001
44.93,0.0616909118232735,0.0931421753068313,0.2605,3.65979999999996
32.92,0.0616879348202861,0,0.23,3.70550000000003
44.92,0.0616633086944093,0,0.2605,3.65979999999996
4.9,0.0616563404934192,0.178328628826795,0.5807,4.096
11.85,0.0614590773503215,0.066796566656658,0.2169,3.66289999999998
39.84,0.0614492530062176,0.0109043268412136,0.1955,3.67220000000003
39.81,0.0611727546115948,0.104877776570624,0.1955,3.67220000000003
46.82,0.0611461435254806,0,0.2102,3.67629999999997
26.9,0.0609632837126799,,0.2508,3.65609999999998
34.82,0.0608167438052497,0,0.2219,3.66360000000003
27.9,0.0607054815171473,,0.261,3.6669
34.83,0.0606502682970326,0.14554958949956,0.2219,3.66360000000003
33.91,0.0605603068544491,0.166312202889307,0.2973,3.68339999999995
43.9,0.0603879350036857,,0.2397,3.64979999999997
10.9,0.06031310989858,,0.2382,3.67020000000002
29.92,0.060149398504957,0,0.2439,3.64609999999999
28.05,0.0598391868922785,0.0314197341842619,0.319,3.64159999999998
39.82,0.0597193805000827,0,0.1955,3.67220000000003
33.05,0.0596865143489604,0.0348176440083147,0.284,3.68269999999995
19.8,0.0596695033721643,,0.1983,3.65109999999999
30.81,0.05950690917028,0.0589651286256552,0.1794,3.68060000000003
29.93,0.0592215468903243,0.0916407734677987,0.2439,3.64609999999999
26.8,0.0592026426669363,,0.19,3.6635
33.02,0.0591594160652577,0,0.284,3.68269999999995
33.01,0.0591498371692786,0.150075989996122,0.284,3.68269999999995
34.81,0.0590554240500768,0.249613763322102,0.2219,3.66360000000003
19.94,0.0589484270668363,0,0.2795,3.64150000000001
39.83,0.0589067357231266,0.0725583063920153,0.1955,3.67220000000003
33.03,0.0588311854686002,0.0733824382668284,0.284,3.68269999999995
29.91,0.058741659772438,0.150086738159983,0.2439,3.64609999999999
33.04,0.05865582149387,0,0.284,3.68269999999995
30.7,0.0580937001560017,,0.1118,3.6653
45.82,0.0580496360241365,0,0.1945,3.67189999999999
45.83,0.0578915993701187,0.0860768964142811,0.1945,3.67189999999999
49.95,0.0574984733358561,0.0633443162454488,0.2421,3.6558
25.95,0.0574875331725295,0.0618228061844383,0.2378,3.65499999999997
33.94,0.0570186573855511,0,0.2973,3.68339999999995
41.94,0.0568884301678426,0,0.24,3.6497
33.92,0.0567068814097786,0,0.2973,3.68339999999995
39.9,0.0566497658244342,,0.2437,3.66589999999996
19.93,0.0565837323143379,0.0919283183358458,0.2795,3.64150000000001
35.84,0.0564100112286112,0.0164862985677255,0.1737,3.66679999999997
45.81,0.0563908393727764,0.132752968041699,0.1945,3.67189999999999
25.9,0.0562510773129876,,0.2378,3.65499999999997
37.94,0.0559872916330122,0,0.2597,3.66079999999999
35.85,0.0559785786778815,0.0562814829014005,0.1737,3.66679999999997
49.9,0.0557314444293218,,0.2421,3.6558
33.93,0.0556810046892903,0.099649998041426,0.2973,3.68339999999995
35.81,0.0556655524500967,0.0982931595924386,0.1737,3.66679999999997
9.85,0.0555141652581065,0.0785808651445311,0.2177,3.66159999999996
9.9,0.0552971804903175,,0.2607,3.65269999999998
19.92,0.0548931615619314,0,0.2795,3.64150000000001
32.91,0.0546239864143843,0.245582481018643,0.23,3.70550000000003
46.9,0.0545504428759161,,0.2582,3.66749999999996
41.93,0.0542874206161682,0.0925219674075227,0.24,3.6497
43.95,0.0542785940373783,0.0626197432610958,0.2397,3.64979999999997
9.8,0.0540964854612019,,0.2177,3.66159999999996
22.9,0.054068196987328,,0.2506,3.66629999999998
12.81,0.0538763935799854,0.292491594215351,0.2104,3.66590000000002
37.9,0.0535007749217197,,0.2597,3.66079999999999
19.91,0.0534276067367787,0.15008501092711,0.2795,3.64150000000001
12.85,0.0532915899591272,0.103562009471561,0.2104,3.66590000000002
35.83,0.0532401525585589,0.0702470264083066,0.1737,3.66679999999997
23.8,0.0531419138728268,,0.2183,3.6585
41.92,0.0531357022750157,0,0.24,3.6497
35.82,0.0530848150331294,0,0.1737,3.66679999999997
32.81,0.0528953475057402,0,0.1846,3.71340000000004
35.9,0.0528879814043114,,0.2216,3.6628
37.93,0.0526670597400021,0.0920886026657024,0.2597,3.66079999999999
7.9,0.052614450550297,,0.2513,3.68049999999999
23.85,0.0524670259760683,0.0677516452421648,0.2183,3.6585
41.91,0.0520391369951975,0.150088965020199,0.24,3.6497
7.85,0.0518690240327414,0.0654028765661398,0.1943,3.68889999999999
4.94,0.0517018677317942,0.0322969296366586,0.5807,4.096
4.92,0.0515670997717406,0.0817222248260518,0.5807,4.096
12.82,0.0512187154479435,0,0.2104,3.66590000000002
36,0.051067637591191,,0.2581,3.64299999999997
4.93,0.0508561762362976,0,0.5807,4.096
10.95,0.0502781316158394,0.0759181173772697,0.2382,3.67020000000002
12.83,0.0500241814911132,0.167201980519572,0.2104,3.66590000000002
12.84,0.0495514909497749,0,0.2104,3.66590000000002
15.95,0.0492454921794819,0.0613416735030183,0.2557,3.64509999999996
37.92,0.0489118219253784,0,0.2597,3.66079999999999
