Sample time,accel,throttle,speed,separation
4.5,-0.171435621594537,,0.7198,4.17410000000001
4.35,-0.157782584707171,0,0.96,4.28139999999996
4.65,-0.144427944153521,0,0.6355,4.15500000000003
4.4,-0.137554080436402,0.0292717748484118,0.8495,4.21370000000002
4.45,-0.137055382167771,0,0.8495,4.21370000000002
43.3,-0.13446297289145,0.0269827845195591,0.2126,3.49419999999998
4.3,-0.131283608447827,0.333642756635437,0.96,4.28139999999996
4.55,-0.126793513221224,0,0.7198,4.17410000000001
7.35,-0.11867225944714,0,0.3175,3.5729
7.3,-0.11831796015854,0.0665861467999345,0.3175,3.5729
43.2,-0.1093421445618,,0.2955,3.5095
4.52,-0.104901882020359,0,0.7198,4.17410000000001
4.34,-0.104764552535577,0,0.96,4.28139999999996
4.51,-0.104618236378986,0,0.7198,4.17410000000001
29.4,-0.102357856012599,,0.0933,3.5138
4.53,-0.102097350504668,0,0.7198,4.17410000000001
4.54,-0.101964351693748,0,0.7198,4.17410000000001
5.4,-0.100773961004118,,0.4893,3.78450000000004
43.25,-0.100462848066421,0,0.2955,3.5095
4.75,-0.0999977646587417,0,0.5998,4.14370000000002
32.3,-0.0994948690759795,,0.231,3.53990000000005
19.35,-0.0974024004165856,0,0.325,3.52859999999998
25.45,-0.0965678002866957,0,0.1611,3.50009999999997
32.4,-0.0962940021274081,,0.1533,3.54590000000002
9.45,-0.0959021983596542,0,0.2304,3.51310000000001
4.42,-0.0941213749294298,0,0.8495,4.21370000000002
43.35,-0.0938358494018335,0,0.2126,3.49419999999998
4.31,-0.0934116055677657,0,0.96,4.28139999999996
4.41,-0.093346423205359,0,0.8495,4.21370000000002
4.32,-0.0928920452735179,0.0500316501093425,0.96,4.28139999999996
19.3,-0.0926302496854858,0.11779228742454,0.325,3.52859999999998
4.33,-0.0926289531189462,0,0.96,4.28139999999996
33.35,-0.0917148385437076,0,0.2075,3.56200000000001
33.3,-0.0915111768269934,,0.2075,3.56200000000001
9.55,-0.0914994726418745,0.0054524775100375,0.1729,3.53340000000003
4.64,-0.0914810707207651,0,0.6355,4.15500000000003
4.43,-0.0911482441787287,0,0.8495,4.21370000000002
32.35,-0.0901343690842078,0,0.231,3.53990000000005
4.44,-0.0901220355066404,0,0.8495,4.21370000000002
4.74,-0.0899443483484204,0.044416995856763,0.5998,4.14370000000002
32.45,-0.0888773980724443,0,0.1533,3.54590000000002
6.3,-0.0885814560438646,,0.2657,3.64049999999997
25.35,-0.0884809144651311,0,0.2292,3.49549999999999
4.6,-0.0873194000893989,,0.6355,4.15500000000003
35.45,-0.087212638591113,0,0.2213,3.51139999999998
33.4,-0.0869441690425098,,0.1393,3.5702
9.3,-0.0869292952487478,0.0244160125108174,0.3045,3.51499999999999
29.35,-0.0867772764104809,0,0.159,3.50079999999997
25.4,-0.0865748586496931,,0.1611,3.50009999999997
33.45,-0.0861160046963904,0,0.1393,3.5702
28.45,-0.0855188482368431,0,0.3107,3.51890000000003
35.35,-0.0853609434879943,0,0.2856,3.512
7.34,-0.085351906215439,0,0.3175,3.5729
9.4,-0.0851848909280775,,0.2304,3.51310000000001
35.3,-0.0846380677134815,0.0402750550169213,0.2856,3.512
7.33,-0.0843177017363483,0,0.3175,3.5729
35.4,-0.0841664603391079,,0.2213,3.51139999999998
4.63,-0.084138795813761,0.0447642212387588,0.6355,4.15500000000003
26.35,-0.0840578732785129,0,0.2068,3.51249999999999
26.4,-0.0840372952565883,,0.142,3.52039999999999
6.55,-0.0840325903526967,0.0227615263386549,0.1512,3.6644
25.3,-0.0838327097574509,,0.2292,3.49549999999999
5.35,-0.0837214899149772,0,0.5596,3.81219999999996
28.4,-0.083424841088016,,0.3107,3.51890000000003
4.62,-0.0831655095589343,0,0.6355,4.15500000000003
7.32,-0.0825782446876809,0,0.3175,3.5729
18.55,-0.0824531734788125,0.0234734277776019,0.1168,3.60640000000001
27.4,-0.0824503370287016,,0.1012,3.58819999999997
4.61,-0.0821497290251831,0.151456113225192,0.6355,4.15500000000003
7.31,-0.0819520491467943,0,0.3175,3.5729
34.4,-0.0811613135013269,,0.2199,3.56139999999999
4.73,-0.0809391687522634,0,0.5998,4.14370000000002
26.3,-0.0807101361427815,,0.2068,3.51249999999999
