x,y
-45,46
-45,46
-45,46
-45,46
-45,46
-45,46
-45,46
-45,46
-45,46
-45,46
-45,46
-45,47
-45,47
-45,47
-45,47
-45,47
-45,47
-45,47
-45,48
-45,48
-45,48
-45,48
-45,48
-45,49
-45,49
-45,49
-45,49
-45,50
-45,50
-45,50
-45,51
-45,51
-45,51
-45,52
-45,52
-45,52
-45,53
-45,53
-45,53
-45,54
-45,54
-45,55
-45,55
-45,55
-45,56
-45,56
-45,57
-45,57
-45,58
-45,58
-45,59
-45,59
-45,60
-45,60
-45,61
-45,61
-45,62
-45,63
-45,63
-45,64
-45,64
-45,65
-45,66
-45,66
-45,67
-45,67
-45,68
-45,69
-45,69
-45,70
-44,71
-44,71
-44,72
-44,73
-44,74
-44,74
-44,75
-44,76
-44,76
-43,77
-43,78
-43,78
-43,79
-43,80
-42,80
-42,81
-42,81
-42,82
-41,83
-41,83
-41,84
-40,85
-40,85
-40,86
-39,86
-39,87
-39,88
-38,88
-38,89
-37,89
-37,90
-37,90
-36,91
-36,91
-35,92
-35,92
-34,93
-34,93
-33,94
-33,94
-32,95
-32,95
-31,96
-31,96
-30,96
-29,97
-29,97
-28,98
-28,98
-27,98
-26,99
-26,99
-25,99
-25,100
-24,100
-23,100
-23,101
-22,101
-22,101
-21,101
-20,102
-20,102
-19,102
-18,102
-18,102
-17,103
-16,103
-16,103
-15,103
-14,103
-14,103
-13,104
-12,104
-12,104
-11,104
-10,104
-9,104
-9,104
-8,104
-7,104
-7,104
-6,104
-5,104
-5,105
-4,105
-3,105
-3,105
-2,105
-1,105
0,105
0,105
1,105
2,105
2,105
3,105
4,105
4,105
5,105
6,105
6,105
7,105
8,105
9,105
9,105
10,105
11,105
11,105
12,105
13,105
13,105
14,105
15,105
15,105
16,105
17,105
18,105
18,105
19,105
20,105
20,105
21,105
22,105
22,105
23,105
24,105
25,105
25,105
26,105
27,105
27,105
28,105
29,105
29,105
30,105
31,105
31,105
32,105
33,105
34,105
34,105
35,105
36,105
36,105
37,105
38,105
38,105
39,105
40,105
40,105
41,105
42,105
43,105
43,105
44,105
45,105
45,105
46,105
47,105
47,105
48,105
49,105
50,105
50,105
51,105
52,105
52,105
53,105
54,105
54,105
55,105
56,105
56,105
57,105
58,105
59,105
59,105
60,105
61,105
61,105
62,105
63,105
63,105
64,105
65,105
65,105
66,105
67,105
68,105
68,105
69,105
70,105
70,105
71,104
72,104
72,104
73,104
74,104
74,104
75,104
76,104
76,103
77,103
78,103
78,103
79,103
80,102
80,102
81,102
82,102
82,101
83,101
84,101
84,101
85,100
85,100
86,100
87,99
87,99
88,98
88,98
89,98
89,97
90,97
91,96
91,96
92,95
92,95
93,95
93,94
94,94
94,93
94,93
95,92
95,91
96,91
96,90
97,90
97,89
97,89
98,88
98,88
98,87
99,86
99,86
99,85
100,84
100,84
100,83
101,83
101,82
101,81
101,81
102,80
102,79
102,79
102,78
103,77
103,77
103,76
103,75
103,75
103,74
103,73
104,73
104,72
104,71
104,71
104,70
104,69
104,69
104,68
104,67
104,66
104,66
104,65
104,64
105,64
105,63
105,62
105,62
105,61
105,60
105,60
105,59
105,58
105,57
105,57
105,56
105,55
105,55
105,54
105,53
105,53
105,52
105,51
105,51
105,50
105,49
105,48
105,48
105,47
105,46
105,46
105,45
105,44
105,44
105,43
105,42
105,42
105,41
105,40
105,39
105,39
105,38
105,37
105,37
105,36
105,35
105,35
105,34
105,33
105,32
105,32
105,31
105,30
105,30
105,29
105,28
105,28
105,27
105,26
105,26
105,25
105,24
105,23
105,23
105,22
105,21
105,21
105,20
105,19
105,19
105,18
105,17
105,17
105,16
105,15
105,14
105,14
105,13
105,12
105,12
105,11
105,10
105,10
105,9
105,8
105,7
105,7
105,6
105,5
105,5
105,4
105,3
105,3
105,2
105,1
105,1
105,0
105,-1
105,-2
105,-2
105,-3
105,-4
105,-4
105,-5
105,-6
105,-6
105,-7
105,-8
105,-8
105,-9
105,-10
105,-11
104,-11
104,-12
104,-13
104,-13
104,-14
104,-15
104,-15
104,-16
103,-17
103,-17
103,-18
103,-19
