time,lat,lon,alt,yaw,pitch,roll,vx,vy,vz,ax,ay,az,yaw_rate,pitch_rate,roll_rate,uncorrect_yaw
2025-12-24 16:53:10.388975,-90.0,26.655102691816587,-6356748.778545179,2.2495021481938835,0.6669075753986566,-0.3276298697387266,-0.0026,0.0034,-0.0006,-0.0321,0.1172,9.778,0.00122,-0.00078,-0.00052,2.2495021481938835
2025-12-24 16:53:10.472564,-90.0,26.655102691816587,-6356748.778545179,2.2495021481938835,0.6669075753986566,-0.3276298697387266,-0.0026,0.0034,-0.0006,0.0753,0.1649,9.7991,0.00035,0.00097,6e-05,2.2495021481938835
2025-12-24 16:53:10.575478,-90.0,26.65514330083822,-6356748.77844518,2.2495713224033,0.6659654374012111,-0.3310193318000073,0.001,-0.0011,0.0005,0.0368,0.0684,9.7489,-0.00091,-0.00159,0.00013,2.2495713224033
2025-12-24 16:53:10.697489,-90.0,26.65514330083822,-6356748.77844518,2.2495713224033,0.6659654374012111,-0.3310193318000073,0.001,-0.0011,0.0005,0.0438,0.1497,9.8132,0.00079,0.00163,0.00061,2.2495713224033
2025-12-24 16:53:10.773952,-90.0,26.65514330083822,-6356748.77844518,2.2495713224033,0.6659654374012111,-0.3310193318000073,0.001,-0.0011,0.0005,0.0492,0.0986,9.8267,0.00085,0.00306,0.00034,2.2495713224033
2025-12-24 16:53:10.877784,-90.0,26.655093578878933,-6356748.778545179,2.249626399025102,0.665197129691366,-0.32759012372244956,-0.0,0.001,0.0006,0.0711,0.1349,9.7447,0.00065,-0.00225,-0.00036,2.249626399025102
2025-12-24 16:53:11.006361,-90.0,26.655093578878933,-6356748.778545179,2.249626399025102,0.665197129691366,-0.32759012372244956,-0.0,0.001,0.0006,0.0142,0.1099,9.8432,0.00012,-0.00439,-0.00105,2.249626399025102
2025-12-24 16:53:11.073705,-90.0,26.655093578878933,-6356748.778545179,2.249626399025102,0.665197129691366,-0.32759012372244956,-0.0,0.001,0.0006,0.0549,0.0916,9.8411,-0.00097,-0.00047,-4e-05,2.249626399025102
2025-12-24 16:53:11.174621,-90.0,26.65512969350708,-6356748.778145179,2.2497664777720825,0.6606872355492245,-0.33498922670496256,-0.0011,0.0009,-0.0003,0.0443,-0.0249,9.7565,0.00109,-0.00168,0.00041,2.2497664777720825
2025-12-24 16:53:11.273329,-90.0,26.65512969350708,-6356748.778145179,2.2497664777720825,0.6606872355492245,-0.33498922670496256,-0.0011,0.0009,-0.0003,0.0317,0.0726,9.8267,0.00136,0.00134,0.00147,2.2497664777720825
2025-12-24 16:53:11.374339,-90.0,26.65511392773991,-6356748.777445179,2.2497322914669615,0.6593831185051776,-0.31629735898062655,0.0005,0.0039,-0.0003,0.0399,0.2258,9.8345,0.00104,-0.00245,-0.00083,2.2497322914669615
2025-12-24 16:53:11.499995,-90.0,26.65511392773991,-6356748.777445179,2.2497322914669615,0.6593831185051776,-0.31629735898062655,0.0005,0.0039,-0.0003,0.0846,0.07,9.7871,-0.00041,-0.00104,-0.0003,2.2497322914669615
2025-12-24 16:53:11.572247,-90.0,26.65511392773991,-6356748.777445179,2.2497322914669615,0.6593831185051776,-0.31629735898062655,0.0005,0.0039,-0.0003,0.0251,0.1267,9.8142,0.0001,-0.00099,-9e-05,2.2497322914669615
2025-12-24 16:53:11.777846,-90.0,26.655113785777427,-6356748.7768451795,2.2498823978579825,0.6593961488218818,-0.3142974132626751,-0.0012,0.0009,-0.0003,0.0614,0.1271,9.8217,-0.00073,0.00087,-0.00048,2.2498823978579825
2025-12-24 16:53:11.888602,-90.0,26.655113785777427,-6356748.7768451795,2.2498823978579825,0.6593961488218818,-0.3142974132626751,-0.0012,0.0009,-0.0003,0.0578,0.0877,9.8013,0.00072,-0.00076,-0.0001,2.2498823978579825
2025-12-24 16:53:11.981164,-90.0,26.655156712895952,-6356748.776645179,2.2498686459462167,0.6495339531535463,-0.30694138625230794,0.0003,0.0012,-0.0004,0.0633,0.1442,9.8208,0.00073,0.00122,-0.00047,2.2498686459462167
2025-12-24 16:53:12.193664,-90.0,26.655145477012123,-6356748.77614518,2.2497895563683077,0.6487936997384885,-0.2944472978916253,0.002,-0.0011,-0.0003,-0.0098,0.1411,9.8188,-0.00079,-0.001,-0.00109,2.2497895563683077
2025-12-24 16:53:12.273177,-90.0,26.655145477012123,-6356748.77614518,2.2497895563683077,0.6487936997384885,-0.2944472978916253,0.002,-0.0011,-0.0003,0.0378,0.0903,9.77,-0.00018,0.00157,9e-05,2.2497895563683077
2025-12-24 16:53:12.374499,-90.0,26.655145477012123,-6356748.77614518,2.2497895563683077,0.6487936997384885,-0.2944472978916253,0.002,-0.0011,-0.0003,0.0296,0.1024,9.8058,0.00157,-0.00016,-0.0004,2.2497895563683077
2025-12-24 16:53:12.471779,-90.0,26.655143336340494,-6356748.77614518,2.249723150572612,0.6321507676844675,-0.29120884092272986,-0.0015,0.0039,0.0006,0.0386,0.1234,9.812,0.00121,0.00027,0.00014,2.249723150572612
2025-12-24 16:53:12.672323,-90.0,26.655143336340494,-6356748.77614518,2.249723150572612,0.6321507676844675,-0.29120884092272986,-0.0015,0.0039,0.0006,0.0712,0.0003,9.7793,0.00063,0.00134,0.0012,2.249723150572612
2025-12-24 16:53:12.781310,-90.0,26.655131976185086,-6356748.775945179,2.2497240148197983,0.6378307329857014,-0.29751166327163875,-0.0024,-0.0012,-0.0012,0.0539,0.0623,9.8293,-0.00102,0.0018,-7e-05,2.2497240148197983
2025-12-24 16:53:12.907151,-90.0,26.655131976185086,-6356748.775945179,2.2497240148197983,0.6378307329857014,-0.29751166327163875,-0.0024,-0.0012,-0.0012,-0.1001,0.1063,9.8084,0.00044,-0.00336,-0.00012,2.2497240148197983
2025-12-24 16:53:12.996116,-90.0,26.65517955754649,-6356748.775945179,2.249613370689645,0.6377435250429695,-0.30044738970770957,0.0041,0.0043,-0.0002,0.0181,0.1411,9.7983,0.00116,-0.00249,-1e-05,2.249613370689645
2025-12-24 16:53:13.172069,-90.0,26.65517955754649,-6356748.775945179,2.249613370689645,0.6377435250429695,-0.30044738970770957,0.0041,0.0043,-0.0002,-0.0536,0.0837,9.7902,0.00011,-0.00106,-0.00092,2.249613370689645
2025-12-24 16:53:13.272739,-90.0,26.655161455811232,-6356748.77614518,2.249639545805172,0.6407513053331512,-0.3011754777338638,-0.0027,0.002,0.0004,0.0069,0.1343,9.833,0.00105,-0.00039,0.00151,2.249639545805172
2025-12-24 16:53:13.372166,-90.0,26.655161455811232,-6356748.77614518,2.249639545805172,0.6407513053331512,-0.3011754777338638,-0.0027,0.002,0.0004,0.009,0.1576,9.7784,0.0006,0.00028,-0.00033,2.249639545805172
2025-12-24 16:53:13.475621,-90.0,26.655161455811232,-6356748.77614518,2.249639545805172,0.6407513053331512,-0.3011754777338638,-0.0027,0.002,0.0004,0.0673,0.1191,9.8269,-0.00122,-5e-05,-1e-05,2.249639545805172
2025-12-24 16:53:13.573081,-90.0,26.655193076135077,-6356748.776045179,2.2496447798805783,0.6418018485072916,-0.2996577998373665,-0.0017,-0.0008,0.0006,0.0154,0.0802,9.8026,0.0007,8e-05,-0.00022,2.2496447798805783
2025-12-24 16:53:13.682367,-90.0,26.655193076135077,-6356748.776045179,2.2496447798805783,0.6418018485072916,-0.2996577998373665,-0.0017,-0.0008,0.0006,-0.0047,0.1813,9.8112,-0.00045,-0.00022,0.00058,2.2496447798805783
2025-12-24 16:53:13.771776,-90.0,26.655193076135077,-6356748.776045179,2.2496447798805783,0.6418018485072916,-0.2996577998373665,-0.0017,-0.0008,0.0006,0.0393,0.1153,9.8161,0.00017,-0.00057,-0.00072,2.2496447798805783
2025-12-24 16:53:13.894400,-90.0,26.65526316496158,-6356748.775845179,2.2496517765117363,0.6383822292797623,-0.29011756509567604,0.003,0.0016,-0.0004,0.0586,0.0977,9.8012,1e-05,-0.00017,0.00037,2.2496517765117363
2025-12-24 16:53:13.972783,-90.0,26.65526316496158,-6356748.775845179,2.2496517765117363,0.6383822292797623,-0.29011756509567604,0.003,0.0016,-0.0004,0.0307,0.1512,9.8279,0.00029,-0.00128,-0.00043,2.2496517765117363
2025-12-24 16:53:14.072846,-90.0,26.655256370125333,-6356748.775845179,2.249694482543032,0.6367082252703771,-0.28876880011585276,-0.0017,0.0036,-0.0003,0.0015,0.079,9.7952,0.00058,-0.00049,-7e-05,2.249694482543032
2025-12-24 16:53:14.173835,-90.0,26.655256370125333,-6356748.775845179,2.249694482543032,0.6367082252703771,-0.28876880011585276,-0.0017,0.0036,-0.0003,0.0342,0.1561,9.8005,0.00083,0.00107,-0.00022,2.249694482543032
2025-12-24 16:53:14.272099,-90.0,26.655256370125333,-6356748.775845179,2.249694482543032,0.6367082252703771,-0.28876880011585276,-0.0017,0.0036,-0.0003,0.0284,0.0835,9.8256,0.00048,-0.00084,-0.00036,2.249694482543032
2025-12-24 16:53:14.373028,-90.0,26.65526764152718,-6356748.776345179,2.249694098597992,0.6329556478898829,-0.28649826513152393,-0.0013,0.002,-0.0001,0.0497,0.108,9.7703,0.00098,0.00357,0.00034,2.249694098597992
2025-12-24 16:53:14.472735,-90.0,26.65526764152718,-6356748.776345179,2.249694098597992,0.6329556478898829,-0.28649826513152393,-0.0013,0.002,-0.0001,0.066,0.0591,9.8149,-0.00025,-0.00211,-0.00075,2.249694098597992
2025-12-24 16:53:14.573150,-90.0,26.65526764152718,-6356748.776345179,2.249694098597992,0.6329556478898829,-0.28649826513152393,-0.0013,0.002,-0.0001,-0.0136,0.0861,9.7994,-0.00059,-0.00146,7e-05,2.249694098597992
2025-12-24 16:53:14.673539,-90.0,26.655303738435602,-6356748.776345179,2.249673471691489,0.6342678571315116,-0.2762124583958321,0.0009,0.0025,0.0003,0.0261,0.1247,9.842,0.00057,-0.00326,-0.0008,2.249673471691489
2025-12-24 16:53:14.794995,-90.0,26.655303738435602,-6356748.776345179,2.249673471691489,0.6342678571315116,-0.2762124583958321,0.0009,0.0025,0.0003,0.0071,0.1454,9.8214,0.00086,-0.00115,0.00024,2.249673471691489
2025-12-24 16:53:14.871651,-90.0,26.65528344281681,-6356748.776345179,2.249644487653498,0.6301009912370542,-0.27438680335452437,-0.0013,0.0028,-0.0006,0.0273,0.1235,9.8116,0.0001,-0.00062,-0.0006,2.249644487653498
2025-12-24 16:53:14.973257,-90.0,26.65528344281681,-6356748.776345179,2.249644487653498,0.6301009912370542,-0.27438680335452437,-0.0013,0.0028,-0.0006,0.0287,0.1207,9.8192,-0.00014,0.0016,0.00046,2.249644487653498
2025-12-24 16:53:15.072083,-90.0,26.65528344281681,-6356748.776345179,2.249644487653498,0.6301009912370542,-0.27438680335452437,-0.0013,0.0028,-0.0006,0.0399,0.1299,9.8082,4e-05,-0.00051,-0.00015,2.249644487653498
2025-12-24 16:53:15.172318,-90.0,26.65529699693917,-6356748.77674518,2.249564530538443,0.6276939661262558,-0.2719611659024413,-0.001,0.003,0.0001,0.0311,0.1236,9.7981,-0.00016,-0.00062,-3e-05,2.249564530538443
2025-12-24 16:53:15.271552,-90.0,26.65529699693917,-6356748.77674518,2.249564530538443,0.6276939661262558,-0.2719611659024413,-0.001,0.003,0.0001,0.0261,0.1228,9.8182,0.00052,-0.00149,-0.00061,2.249564530538443
2025-12-24 16:53:15.372736,-90.0,26.655297032502077,-6356748.7768451795,2.2495553681403937,0.6251019809885098,-0.27078496807270985,0.0004,0.0033,0.0001,0.0228,0.1197,9.811,-0.00036,0.00011,0.00019,2.2495553681403937
2025-12-24 16:53:15.473275,-90.0,26.655297032502077,-6356748.7768451795,2.2495553681403937,0.6251019809885098,-0.27078496807270985,0.0004,0.0033,0.0001,0.0268,0.1215,9.7974,0.00018,0.0003,0.00036,2.2495553681403937
2025-12-24 16:53:15.573758,-90.0,26.655297032502077,-6356748.7768451795,2.2495553681403937,0.6251019809885098,-0.27078496807270985,0.0004,0.0033,0.0001,0.034,0.1298,9.815,-3e-05,0.00019,-0.0002,2.2495553681403937
2025-12-24 16:53:15.672415,-90.0,26.655297032502077,-6356748.7768451795,2.2495553681403937,0.6251019809885098,-0.27078496807270985,0.0004,0.0033,0.0001,0.0448,0.1185,9.7974,0.0007,0.00088,-0.00066,2.2495553681403937
2025-12-24 16:53:15.771717,-90.0,26.655294785334657,-6356748.776945179,2.2495137659392075,0.6209496726217183,-0.2681869715280206,-0.0019,0.0025,-0.0,0.0143,0.1186,9.8139,0.00043,4e-05,4e-05,2.2495137659392075
2025-12-24 16:53:15.874047,-90.0,26.655294785334657,-6356748.776945179,2.2495137659392075,0.6209496726217183,-0.2681869715280206,-0.0019,0.0025,-0.0,0.0074,0.1137,9.8046,0.00017,-0.0007,0.00027,2.2495137659392075
2025-12-24 16:53:15.975276,-90.0,26.65529483867774,-6356748.77674518,2.249400089701244,0.6203090504159264,-0.26757649667675887,-0.0002,0.0036,-0.0002,0.0397,0.1184,9.8019,-0.00014,0.00109,-0.00012,2.249400089701244
2025-12-24 16:53:16.077418,-90.0,26.65529483867774,-6356748.77674518,2.249400089701244,0.6203090504159264,-0.26757649667675887,-0.0002,0.0036,-0.0002,0.0525,0.1324,9.8073,0.00038,0.00031,-0.00018,2.249400089701244
2025-12-24 16:53:16.179205,-90.0,26.65529483867774,-6356748.77674518,2.249400089701244,0.6203090504159264,-0.26757649667675887,-0.0002,0.0036,-0.0002,0.0178,0.111,9.8085,0.00012,-0.00069,-7e-05,2.249400089701244
